holder,start,end,count,gas_waste_eth
0x98dc82470cd96449eff7a21837644e8a0b83f40e,2021-03-05 18:27:09+00:00,2021-03-05 19:17:05+00:00,3,0.015490799
0x98dc82470cd96449eff7a21837644e8a0b83f40e,2021-03-07 07:31:40+00:00,2021-03-07 07:34:56+00:00,3,0.009572484999999999
0x98dc82470cd96449eff7a21837644e8a0b83f40e,2021-03-15 09:34:03+00:00,2021-03-15 10:17:37+00:00,3,0.020889814
0x98dc82470cd96449eff7a21837644e8a0b83f40e,2021-05-03 00:41:27+00:00,2021-05-03 01:09:04+00:00,4,0.012488456
0x98dc82470cd96449eff7a21837644e8a0b83f40e,2021-05-03 03:00:31+00:00,2021-05-03 03:02:20+00:00,3,0.00691786
0x98dc82470cd96449eff7a21837644e8a0b83f40e,2021-05-30 01:24:44+00:00,2021-05-30 02:59:28+00:00,3,0.017540510000000002
0x98dc82470cd96449eff7a21837644e8a0b83f40e,2021-05-30 23:19:02+00:00,2021-05-30 23:23:46+00:00,3,0.034244585
0x98dc82470cd96449eff7a21837644e8a0b83f40e,2021-06-01 02:29:17+00:00,2021-06-01 02:33:39+00:00,4,0.00535474
0x98dc82470cd96449eff7a21837644e8a0b83f40e,2021-06-06 18:59:33+00:00,2021-06-06 20:28:43+00:00,3,0.004876775
0x05b41dc849615bb44161bdb8121478b5c85e1f39,2021-12-08 03:48:24+00:00,2021-12-08 03:50:42+00:00,3,0.007239621655621635
0x05b41dc849615bb44161bdb8121478b5c85e1f39,2021-12-23 16:30:42+00:00,2021-12-23 16:36:45+00:00,5,0.12798955199943488
0x05b41dc849615bb44161bdb8121478b5c85e1f39,2022-10-21 20:18:11+00:00,2022-10-21 21:50:59+00:00,6,0.02501996038137367
0x82b47799859e354eac6dba1d0f6dd5b45124c14b,2021-11-09 12:39:58+00:00,2021-11-09 12:43:51+00:00,5,0.17035605816997434
0x82b47799859e354eac6dba1d0f6dd5b45124c14b,2021-11-22 05:37:15+00:00,2021-11-22 05:55:38+00:00,3,0.1435145258723727
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2021-11-06 13:46:48+00:00,2021-11-06 13:48:32+00:00,3,0.016830811799999998
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-07-05 02:55:56+00:00,2022-07-05 02:55:56+00:00,3,0.0013681855399687681
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-07-11 03:25:05+00:00,2022-07-11 04:46:50+00:00,4,0.01659453378161311
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-07-13 07:40:33+00:00,2022-07-13 07:54:38+00:00,3,0.00860298619042436
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-07-17 05:09:07+00:00,2022-07-17 06:32:53+00:00,3,0.003858869313143368
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-07-29 02:34:05+00:00,2022-07-29 02:44:18+00:00,3,0.008652453709388577
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-07-29 22:24:51+00:00,2022-07-29 22:26:13+00:00,3,0.00665663793104913
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-07-30 06:12:42+00:00,2022-07-30 07:52:05+00:00,3,0.0032126638514985723
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-07-31 05:02:04+00:00,2022-07-31 05:03:22+00:00,3,0.002541839077597596
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-07-31 16:31:33+00:00,2022-07-31 17:27:26+00:00,5,0.015261831731160354
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-07-31 19:52:05+00:00,2022-07-31 21:40:38+00:00,7,0.012472702329026655
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-08-02 03:57:01+00:00,2022-08-02 05:52:38+00:00,7,0.015362170164341875
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-08-02 07:00:13+00:00,2022-08-02 07:11:13+00:00,3,0.0044009085052528
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-08-04 05:37:49+00:00,2022-08-04 05:40:29+00:00,3,0.014586263789150603
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-08-12 21:46:30+00:00,2022-08-12 22:27:23+00:00,3,0.00632101023818496
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-08-17 10:56:34+00:00,2022-08-17 10:58:54+00:00,3,0.002797968085024008
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-08-19 02:50:23+00:00,2022-08-19 04:06:33+00:00,7,0.016848583123188574
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-08-21 03:34:13+00:00,2022-08-21 04:31:22+00:00,3,0.002416994
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-09-05 22:36:54+00:00,2022-09-05 23:33:40+00:00,3,0.007070097646167636
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-09-29 02:36:23+00:00,2022-09-29 04:09:23+00:00,3,0.005611123280930684
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-10-01 21:45:47+00:00,2022-10-01 23:01:11+00:00,3,0.00429418436040826
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-10-04 04:30:47+00:00,2022-10-04 06:30:23+00:00,3,0.0055213617517074235
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-10-17 20:36:35+00:00,2022-10-17 20:41:23+00:00,4,0.018647917370736726
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-10-21 04:51:35+00:00,2022-10-21 05:13:59+00:00,4,0.01606191791620273
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-10-29 01:26:59+00:00,2022-10-29 02:50:59+00:00,10,0.019152758463847834
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-11-01 18:38:23+00:00,2022-11-01 20:21:35+00:00,3,0.007963307885713457
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-11-01 21:47:59+00:00,2022-11-01 22:06:35+00:00,3,0.006165448162106743
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-11-03 07:38:11+00:00,2022-11-03 08:19:47+00:00,5,0.0297785860624043
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-11-04 18:39:35+00:00,2022-11-04 19:05:59+00:00,3,0.016171660868738988
0x69de5e18113ee6ea8a69cb46cabda371d5e581d6,2022-11-06 01:38:59+00:00,2022-11-06 01:54:47+00:00,4,0.011406748505736268
0x4d03a186b3c7d039ff9a212cd8e81dc34a670b35,2021-12-25 15:07:13+00:00,2021-12-25 15:09:15+00:00,4,0.09180213459824654
0x4d03a186b3c7d039ff9a212cd8e81dc34a670b35,2022-01-10 19:40:34+00:00,2022-01-10 19:41:52+00:00,3,0.2901999282516182
0x29441dc5aeec920e18533fa007a2d9829f6b46b4,2021-12-25 13:55:32+00:00,2021-12-25 13:57:52+00:00,4,0.031718468496976945
0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,2021-11-13 01:29:33+00:00,2021-11-13 02:46:32+00:00,6,0.22057060258049624
0x9e17c96cbbe539e17dd75e3639436edaf0af632f,2021-05-11 06:20:41+00:00,2021-05-11 06:23:28+00:00,3,0.027112486
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-09-04 01:31:37+00:00,2020-09-04 03:07:10+00:00,3,0.013751306000000001
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-09-14 16:06:29+00:00,2020-09-14 16:06:29+00:00,3,0.015263220000000001
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-09-28 07:02:58+00:00,2020-09-28 08:07:32+00:00,4,0.0084376588
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-09-30 00:36:39+00:00,2020-09-30 00:36:39+00:00,4,0.022618354
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-10-01 21:30:34+00:00,2020-10-01 21:34:00+00:00,4,0.0133939172
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-10-02 00:14:02+00:00,2020-10-02 00:26:12+00:00,6,0.014693129000000001
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-10-02 17:43:49+00:00,2020-10-02 17:43:49+00:00,3,0.080196321
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-10-02 20:36:15+00:00,2020-10-02 22:33:58+00:00,3,0.01157618
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-10-04 05:45:02+00:00,2020-10-04 07:04:02+00:00,4,0.020376054700000003
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-10-04 22:55:51+00:00,2020-10-04 23:15:59+00:00,6,0.0149198439
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-10-05 00:56:55+00:00,2020-10-05 01:31:15+00:00,7,0.0237772064
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-10-12 17:41:51+00:00,2020-10-12 17:45:18+00:00,3,0.018595591999999998
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-10-14 04:15:46+00:00,2020-10-14 04:15:46+00:00,3,0.0067257492000000006
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2020-10-15 06:25:40+00:00,2020-10-15 06:27:13+00:00,5,0.01007659
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2021-03-29 23:20:58+00:00,2021-03-30 00:43:26+00:00,7,0.034473408000000004
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2021-03-31 23:06:58+00:00,2021-03-31 23:21:00+00:00,3,0.017174776
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2021-04-06 13:57:16+00:00,2021-04-06 15:17:03+00:00,8,0.0452894225
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2021-04-08 17:52:17+00:00,2021-04-08 17:53:36+00:00,3,0.010424745000000001
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2021-04-23 19:37:28+00:00,2021-04-23 19:44:32+00:00,5,0.020326272
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2021-04-24 00:36:40+00:00,2021-04-24 01:37:01+00:00,3,0.0074845580000000005
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2021-05-15 00:57:27+00:00,2021-05-15 01:06:05+00:00,3,0.009250278
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2021-06-10 02:24:47+00:00,2021-06-10 02:24:47+00:00,3,0.001820819
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2021-09-05 07:22:00+00:00,2021-09-05 07:27:42+00:00,3,0.008002261787845449
0xf03b5f229a14b53094d9566642fb5e2e7273586d,2023-01-03 21:43:59+00:00,2023-01-03 21:47:35+00:00,3,0.013816169134450003
0x070f40ccce59a4585e00227d9c01c705c6d087be,2020-08-07 05:57:56+00:00,2020-08-07 07:34:33+00:00,5,0.008388146
0x070f40ccce59a4585e00227d9c01c705c6d087be,2020-08-08 14:56:37+00:00,2020-08-08 15:14:28+00:00,3,0.0041488968
0x070f40ccce59a4585e00227d9c01c705c6d087be,2020-11-14 14:09:49+00:00,2020-11-14 14:12:53+00:00,3,0.006701087999999999
0x2e12979da9ad061ccc204c00d0e3a477a8cc4aea,2021-07-14 16:12:02+00:00,2021-07-14 16:13:49+00:00,3,0.0052202876
0x2e12979da9ad061ccc204c00d0e3a477a8cc4aea,2021-08-11 20:20:22+00:00,2021-08-11 20:20:54+00:00,4,0.022220204412389737
0x2e12979da9ad061ccc204c00d0e3a477a8cc4aea,2021-10-03 09:57:43+00:00,2021-10-03 10:00:05+00:00,3,0.008530267000000001
0x2e12979da9ad061ccc204c00d0e3a477a8cc4aea,2021-11-20 22:20:28+00:00,2021-11-20 23:25:47+00:00,3,0.10283273
0x2e12979da9ad061ccc204c00d0e3a477a8cc4aea,2021-11-21 00:44:35+00:00,2021-11-21 01:20:10+00:00,3,0.07361273
0x2e12979da9ad061ccc204c00d0e3a477a8cc4aea,2021-12-29 06:09:04+00:00,2021-12-29 06:27:57+00:00,3,0.062281270787807846
0x2e12979da9ad061ccc204c00d0e3a477a8cc4aea,2022-01-03 22:03:35+00:00,2022-01-03 23:18:35+00:00,3,0.08299523098012773
0x47bc6df2d9a84f1a9c47120402f72310045f3d93,2020-12-10 09:32:05+00:00,2020-12-10 10:00:02+00:00,3,0.008937540800000001
0xd1ac0e75c931e7e7363d6a9b262699b45d0b3177,2020-12-05 15:48:11+00:00,2020-12-05 17:20:24+00:00,6,0.004591526689999999
0xd1ac0e75c931e7e7363d6a9b262699b45d0b3177,2021-02-05 04:39:55+00:00,2021-02-05 04:52:45+00:00,3,0.011686067215000002
0xd1ac0e75c931e7e7363d6a9b262699b45d0b3177,2021-05-12 17:46:54+00:00,2021-05-12 19:20:31+00:00,4,0.059833069999999995
0x18175088558795c90466257d23a7e112fe0f8f2a,2021-11-11 20:28:54+00:00,2021-11-11 21:41:39+00:00,3,0.27445633864097724
0x18175088558795c90466257d23a7e112fe0f8f2a,2021-11-12 03:50:28+00:00,2021-11-12 03:57:06+00:00,3,0.23314603755315272
0x920d5e63ca6b2b2d073680dbc635bad9d57c38cb,2021-06-12 14:52:59+00:00,2021-06-12 16:24:52+00:00,3,0.006454941
0x0659b5680a005f9123888362a9b054a1fb2a6c30,2021-11-04 15:29:03+00:00,2021-11-04 16:13:25+00:00,5,0.052716308982451325
0x453dccc996adf27fa9fbbfe61318c116ad761177,2022-09-29 15:07:35+00:00,2022-09-29 16:46:47+00:00,3,0.031743022121682195
0xe79a0a7e0f37d16884d76bfb2ac796d743a960e2,2021-12-28 05:41:02+00:00,2021-12-28 06:05:52+00:00,5,0.08799444555759944
0x60f5a64cfa1342b4992cf7d987675b93feff3520,2021-05-26 00:35:32+00:00,2021-05-26 00:35:32+00:00,3,0.006035869295993216
0x60f5a64cfa1342b4992cf7d987675b93feff3520,2021-06-18 00:08:09+00:00,2021-06-18 00:10:09+00:00,3,0.000870575035
0x60f5a64cfa1342b4992cf7d987675b93feff3520,2021-10-03 17:32:40+00:00,2021-10-03 18:52:36+00:00,3,0.00496939682795428
